date,month,time,camera,tripshr
9-Aug-04,August,8,2,10
9-Aug-04,August,9,2,8
9-Aug-04,August,10,2,6
9-Aug-04,August,11,2,3
9-Aug-04,August,12,2,1
9-Aug-04,August,13,2,0
9-Aug-04,August,14,2,10
9-Aug-04,August,15,2,8
9-Aug-04,August,16,2,3
9-Aug-04,August,17,2,0
9-Aug-04,August,18,2,1
9-Aug-04,August,19,2,4
9-Aug-04,August,20,2,2
9-Aug-04,August,21,2,4
9-Aug-04,August,22,2,6
9-Aug-04,August,23,2,7
9-Aug-04,August,24,2,1
10-Aug-04,August,1,2,0
10-Aug-04,August,2,2,1
10-Aug-04,August,3,2,1
10-Aug-04,August,4,2,1
10-Aug-04,August,5,2,0
10-Aug-04,August,6,2,0
10-Aug-04,August,7,2,9
10-Aug-04,August,8,2,6
10-Aug-04,August,9,2,8
10-Aug-04,August,10,2,4
10-Aug-04,August,11,2,13.71428571
10-Aug-04,August,12,2,9
10-Aug-04,August,13,2,4
10-Aug-04,August,14,2,8
10-Aug-04,August,15,2,22
10-Aug-04,August,16,2,29
10-Aug-04,August,17,2,14
10-Aug-04,August,18,2,4
10-Aug-04,August,19,2,31
10-Aug-04,August,20,2,36
10-Aug-04,August,21,2,15
10-Aug-04,August,22,2,3
10-Aug-04,August,23,2,11
10-Aug-04,August,24,2,6
11-Aug-04,August,1,2,4
11-Aug-04,August,2,2,2
11-Aug-04,August,3,2,1
11-Aug-04,August,4,2,5
11-Aug-04,August,5,2,2
11-Aug-04,August,6,2,4
11-Aug-04,August,7,2,22
11-Aug-04,August,8,2,19
11-Aug-04,August,9,2,17
11-Aug-04,August,10,2,11
11-Aug-04,August,11,2,13
11-Aug-04,August,12,2,11
11-Aug-04,August,13,2,1
11-Aug-04,August,14,2,0
11-Aug-04,August,15,2,0
11-Aug-04,August,16,2,0
11-Aug-04,August,17,2,0
11-Aug-04,August,18,2,3
11-Aug-04,August,19,2,1
11-Aug-04,August,20,2,10
11-Aug-04,August,21,2,18
11-Aug-04,August,22,2,11
11-Aug-04,August,23,2,7
11-Aug-04,August,24,2,5
12-Aug-04,August,1,2,0
12-Aug-04,August,2,2,0
12-Aug-04,August,3,2,0
12-Aug-04,August,4,2,0
12-Aug-04,August,5,2,7
12-Aug-04,August,6,2,1
12-Aug-04,August,7,2,17
12-Aug-04,August,8,2,8
12-Aug-04,August,9,2,11
12-Aug-04,August,10,2,6
12-Aug-04,August,11,2,8
12-Aug-04,August,12,2,5
12-Aug-04,August,13,2,22
12-Aug-04,August,14,2,11
12-Aug-04,August,15,2,14
12-Aug-04,August,16,2,16
12-Aug-04,August,17,2,15
12-Aug-04,August,18,2,8
12-Aug-04,August,19,2,18
12-Aug-04,August,20,2,13
12-Aug-04,August,21,2,10
12-Aug-04,August,22,2,15
12-Aug-04,August,23,2,11
12-Aug-04,August,24,2,3
13-Aug-04,August,1,2,1
13-Aug-04,August,2,2,1
13-Aug-04,August,3,2,1
13-Aug-04,August,4,2,1
13-Aug-04,August,5,2,1
13-Aug-04,August,6,2,5
13-Aug-04,August,7,2,13
13-Aug-04,August,8,2,8
13-Aug-04,August,9,2,18
13-Aug-04,August,10,2,36
13-Aug-04,August,11,2,41
13-Aug-04,August,12,2,34
13-Aug-04,August,13,2,13
13-Aug-04,August,14,2,12
13-Aug-04,August,15,2,14
13-Aug-04,August,16,2,15
13-Aug-04,August,17,2,7
13-Aug-04,August,18,2,9
13-Aug-04,August,19,2,11
13-Aug-04,August,20,2,10
13-Aug-04,August,21,2,10
13-Aug-04,August,22,2,11
13-Aug-04,August,23,2,8
13-Aug-04,August,24,2,0
14-Aug-04,August,1,2,0
14-Aug-04,August,2,2,2
14-Aug-04,August,3,2,1
14-Aug-04,August,4,2,1
14-Aug-04,August,5,2,1
14-Aug-04,August,6,2,12
14-Aug-04,August,7,2,21
14-Aug-04,August,8,2,12
14-Aug-04,August,9,2,11
14-Aug-04,August,10,2,6
14-Aug-04,August,11,2,4
14-Aug-04,August,12,2,1
14-Aug-04,August,13,2,4
18-Aug-04,August,1,2,0
18-Aug-04,August,2,2,0
18-Aug-04,August,3,2,2
12-Jul-04,July,16,3,2.142857143
12-Jul-04,July,17,3,3
12-Jul-04,July,18,3,1
12-Jul-04,July,19,3,0
12-Jul-04,July,20,3,10
12-Jul-04,July,21,3,10
12-Jul-04,July,22,3,12
12-Jul-04,July,23,3,4
12-Jul-04,July,24,3,3
13-Jul-04,July,1,3,3
13-Jul-04,July,2,3,0
13-Jul-04,July,3,3,2
13-Jul-04,July,4,3,0
13-Jul-04,July,5,3,1
13-Jul-04,July,6,3,8
13-Jul-04,July,7,3,6
13-Jul-04,July,8,3,7
13-Jul-04,July,9,3,6
13-Jul-04,July,10,3,8
13-Jul-04,July,11,3,5
13-Jul-04,July,12,3,8
13-Jul-04,July,13,3,4
13-Jul-04,July,14,3,4
13-Jul-04,July,15,3,0
13-Jul-04,July,16,3,0
13-Jul-04,July,17,3,8
13-Jul-04,July,18,3,15
13-Jul-04,July,19,3,5
13-Jul-04,July,20,3,10
13-Jul-04,July,21,3,6
13-Jul-04,July,22,3,12
13-Jul-04,July,23,3,11
13-Jul-04,July,24,3,3
14-Jul-04,July,1,3,1
14-Jul-04,July,2,3,0
14-Jul-04,July,3,3,0
14-Jul-04,July,4,3,0
14-Jul-04,July,5,3,0
14-Jul-04,July,6,3,7
14-Jul-04,July,7,3,8
14-Jul-04,July,8,3,12
14-Jul-04,July,9,3,7
14-Jul-04,July,10,3,8
14-Jul-04,July,11,3,10
14-Jul-04,July,12,3,15
14-Jul-04,July,13,3,7
14-Jul-04,July,14,3,5
14-Jul-04,July,15,3,8
14-Jul-04,July,16,3,3
14-Jul-04,July,17,3,7
14-Jul-04,July,18,3,5
14-Jul-04,July,19,3,5
14-Jul-04,July,20,3,18
14-Jul-04,July,21,3,5
14-Jul-04,July,22,3,6
14-Jul-04,July,23,3,7
14-Jul-04,July,24,3,8
15-Jul-04,July,1,3,1
15-Jul-04,July,2,3,0
15-Jul-04,July,3,3,0
15-Jul-04,July,4,3,0
15-Jul-04,July,5,3,4
15-Jul-04,July,6,3,6
15-Jul-04,July,7,3,0
15-Jul-04,July,8,3,3
15-Jul-04,July,9,3,12
15-Jul-04,July,10,3,7
15-Jul-04,July,11,3,5
15-Jul-04,July,12,3,10
15-Jul-04,July,13,3,11
15-Jul-04,July,14,3,5
15-Jul-04,July,15,3,4
15-Jul-04,July,16,3,11
15-Jul-04,July,17,3,5
15-Jul-04,July,18,3,13
15-Jul-04,July,19,3,15
15-Jul-04,July,20,3,7
15-Jul-04,July,21,3,7
15-Jul-04,July,22,3,7
15-Jul-04,July,23,3,4
15-Jul-04,July,24,3,5
7-Aug-04,August,14,3,8.571428571
7-Aug-04,August,15,3,4
7-Aug-04,August,16,3,4
7-Aug-04,August,17,3,3
7-Aug-04,August,18,3,2
7-Aug-04,August,19,3,0
7-Aug-04,August,20,3,0
7-Aug-04,August,21,3,4
7-Aug-04,August,22,3,3
7-Aug-04,August,23,3,5
7-Aug-04,August,24,3,0
8-Aug-04,August,6,3,3.829787234
8-Aug-04,August,7,3,7
8-Aug-04,August,8,3,5
8-Aug-04,August,9,3,2
8-Aug-04,August,10,3,4
8-Aug-04,August,11,3,3
8-Aug-04,August,12,3,5
8-Aug-04,August,13,3,3
8-Aug-04,August,14,3,0
8-Aug-04,August,15,3,2
8-Aug-04,August,16,3,2
8-Aug-04,August,17,3,1
8-Aug-04,August,18,3,2
8-Aug-04,August,19,3,2
8-Aug-04,August,20,3,5
8-Aug-04,August,21,3,7
8-Aug-04,August,22,3,7
8-Aug-04,August,23,3,7
8-Aug-04,August,24,3,2.926829268
9-Aug-04,August,6,3,1.176470588
9-Aug-04,August,7,3,11
9-Aug-04,August,8,3,11
9-Aug-04,August,9,3,6
9-Aug-04,August,10,3,7
9-Aug-04,August,11,3,6
9-Aug-04,August,12,3,4
9-Aug-04,August,13,3,4
9-Aug-04,August,14,3,1
9-Aug-04,August,15,3,2
9-Aug-04,August,16,3,1
9-Aug-04,August,17,3,0
9-Aug-04,August,18,3,1
9-Aug-04,August,19,3,4
9-Aug-04,August,20,3,2
9-Aug-04,August,21,3,2
9-Aug-04,August,22,3,3
9-Aug-04,August,23,3,6
9-Aug-04,August,24,3,1.666666667
10-Aug-04,August,6,3,0
10-Aug-04,August,7,3,10
10-Aug-04,August,8,3,8
10-Aug-04,August,9,3,3
10-Aug-04,August,10,3,4
10-Aug-04,August,11,3,0
10-Aug-04,August,12,3,10
10-Aug-04,August,13,3,11
10-Aug-04,August,14,3,2
10-Aug-04,August,15,3,10
10-Aug-04,August,16,3,33
10-Aug-04,August,17,3,12
10-Aug-04,August,18,3,0
10-Aug-04,August,19,3,16
10-Aug-04,August,20,3,19
10-Aug-04,August,21,3,11
10-Aug-04,August,22,3,7
10-Aug-04,August,23,3,10
10-Aug-04,August,24,3,0
11-Aug-04,August,6,3,1.395348837
11-Aug-04,August,7,3,18
11-Aug-04,August,8,3,10
11-Aug-04,August,9,3,11
11-Aug-04,August,10,3,11
11-Aug-04,August,11,3,10
11-Aug-04,August,12,3,8
11-Aug-04,August,13,3,0
11-Aug-04,August,14,3,0
11-Aug-04,August,15,3,0
11-Aug-04,August,16,3,0
11-Aug-04,August,17,3,0
11-Aug-04,August,18,3,0
11-Aug-04,August,19,3,0
11-Aug-04,August,20,3,2
11-Aug-04,August,21,3,2
11-Aug-04,August,22,3,7
11-Aug-04,August,23,3,2
11-Aug-04,August,24,3,0
12-Aug-04,August,6,3,2
12-Aug-04,August,7,3,5
12-Aug-04,August,8,3,11
12-Aug-04,August,9,3,5
12-Aug-04,August,10,3,0
12-Aug-04,August,11,3,5
12-Aug-04,August,12,3,2
12-Aug-04,August,13,3,23
12-Aug-04,August,14,3,17
12-Aug-04,August,15,3,17
12-Aug-04,August,16,3,19
12-Aug-04,August,17,3,20
12-Aug-04,August,18,3,11
12-Aug-04,August,19,3,8
12-Aug-04,August,20,3,1
12-Aug-04,August,21,3,10
12-Aug-04,August,22,3,10
12-Aug-04,August,23,3,14
12-Aug-04,August,24,3,4.444444444
13-Aug-04,August,6,3,1.395348837
13-Aug-04,August,7,3,1
13-Aug-04,August,8,3,8
13-Aug-04,August,9,3,8
13-Aug-04,August,10,3,9
13-Aug-04,August,11,3,13
13-Aug-04,August,12,3,24
13-Aug-04,August,13,3,14
13-Aug-04,August,14,3,14
13-Aug-04,August,15,3,5
13-Aug-04,August,16,3,8
13-Aug-04,August,17,3,3
13-Aug-04,August,18,3,9
13-Aug-04,August,19,3,11
13-Aug-04,August,20,3,9
13-Aug-04,August,21,3,13
13-Aug-04,August,22,3,12
13-Aug-04,August,23,3,5
13-Aug-04,August,24,3,0
14-Aug-04,August,6,3,8.571428571
14-Aug-04,August,7,3,12
14-Aug-04,August,8,3,20
14-Aug-04,August,9,3,14
14-Aug-04,August,10,3,6
14-Aug-04,August,11,3,0
14-Aug-04,August,12,3,1
14-Aug-04,August,13,3,1
30-Jun-04,June,1,1,5
30-Jun-04,June,2,1,0
30-Jun-04,June,4,1,0
30-Jun-04,June,5,1,8
30-Jun-04,June,6,1,24
30-Jun-04,June,7,1,21
30-Jun-04,June,8,1,12
30-Jun-04,June,9,1,8
30-Jun-04,June,10,1,14
30-Jun-04,June,11,1,10
30-Jun-04,June,12,1,21
30-Jun-04,June,13,1,10
30-Jun-04,June,14,1,1
30-Jun-04,June,15,1,22
30-Jun-04,June,16,1,13
30-Jun-04,June,17,1,8
30-Jun-04,June,18,1,20
30-Jun-04,June,19,1,9
30-Jun-04,June,20,1,1
30-Jun-04,June,21,1,27
30-Jun-04,June,22,1,13
30-Jun-04,June,1,2,1
30-Jun-04,June,2,2,0
30-Jun-04,June,3,2,0
30-Jun-04,June,4,2,0
30-Jun-04,June,5,2,1
30-Jun-04,June,6,2,4
30-Jun-04,June,7,2,3
30-Jun-04,June,8,2,3
30-Jun-04,June,9,2,0
30-Jun-04,June,10,2,0
30-Jun-04,June,11,2,4
30-Jun-04,June,12,2,6
30-Jun-04,June,13,2,1
30-Jun-04,June,14,2,3
30-Jun-04,June,15,2,2
30-Jun-04,June,16,2,1
30-Jun-04,June,17,2,1
30-Jun-04,June,18,2,2
30-Jun-04,June,19,2,1
30-Jun-04,June,20,2,2
30-Jun-04,June,21,2,5
30-Jun-04,June,22,2,1
26-Jun-04,June,13,1,0
26-Jun-04,June,14,1,1
26-Jun-04,June,15,1,0
26-Jun-04,June,16,1,0
26-Jun-04,June,17,1,0
26-Jun-04,June,18,1,0
26-Jun-04,June,20,1,0
26-Jun-04,June,21,1,1
26-Jun-04,June,22,1,0
26-Jun-04,June,23,1,1
26-Jun-04,June,24,1,2
26-Jun-04,June,13,2,0
26-Jun-04,June,14,2,0
26-Jun-04,June,15,2,0
26-Jun-04,June,16,2,0
26-Jun-04,June,17,2,0
26-Jun-04,June,18,2,0
26-Jun-04,June,20,2,1
26-Jun-04,June,21,2,0
26-Jun-04,June,22,2,0
26-Jun-04,June,23,2,2
26-Jun-04,June,24,2,2
23-Jul-04,July,1,1,0
23-Jul-04,July,5,1,0
23-Jul-04,July,6,1,2
23-Jul-04,July,7,1,1
23-Jul-04,July,8,1,14
23-Jul-04,July,9,1,15
23-Jul-04,July,10,1,5
23-Jul-04,July,11,1,14
23-Jul-04,July,12,1,6
23-Jul-04,July,13,1,4
23-Jul-04,July,14,1,7
23-Jul-04,July,15,1,12
23-Jul-04,July,16,1,13
23-Jul-04,July,17,1,12
23-Jul-04,July,18,1,19
23-Jul-04,July,19,1,9
23-Jul-04,July,20,1,3
23-Jul-04,July,21,1,11
23-Jul-04,July,1,2,0
23-Jul-04,July,2,2,0
23-Jul-04,July,5,2,2
23-Jul-04,July,6,2,0
23-Jul-04,July,7,2,3
23-Jul-04,July,8,2,0
23-Jul-04,July,9,2,1
23-Jul-04,July,10,2,1
23-Jul-04,July,11,2,2
23-Jul-04,July,12,2,0
23-Jul-04,July,13,2,0
23-Jul-04,July,14,2,0
23-Jul-04,July,15,2,2
23-Jul-04,July,16,2,2
23-Jul-04,July,17,2,2
23-Jul-04,July,18,2,0
23-Jul-04,July,19,2,0
23-Jul-04,July,20,2,0
23-Jul-04,July,21,2,2
22-Jul-04,July,16,1,7
22-Jul-04,July,17,1,10
22-Jul-04,July,18,1,3
22-Jul-04,July,19,1,7
22-Jul-04,July,20,1,7
22-Jul-04,July,21,1,9
22-Jul-04,July,22,1,9
22-Jul-04,July,23,1,7
22-Jul-04,July,24,1,9
22-Jul-04,July,16,2,1
22-Jul-04,July,17,2,0
22-Jul-04,July,18,2,1
22-Jul-04,July,19,2,0
22-Jul-04,July,20,2,1
22-Jul-04,July,21,2,0
22-Jul-04,July,22,2,2
22-Jul-04,July,23,2,2
22-Jul-04,July,24,2,1
19-Jul-04,July,15,2,0
19-Jul-04,July,16,2,12
19-Jul-04,July,17,2,3
19-Jul-04,July,18,2,1
19-Jul-04,July,19,2,6
19-Jul-04,July,20,2,12
19-Jul-04,July,21,2,14
19-Jul-04,July,22,2,14
19-Jul-04,July,23,2,6
19-Jul-04,July,24,2,12
19-Jul-04,July,15,3,0
19-Jul-04,July,16,3,0
19-Jul-04,July,17,3,1
19-Jul-04,July,18,3,0
19-Jul-04,July,19,3,1
19-Jul-04,July,20,3,2
19-Jul-04,July,21,3,10
19-Jul-04,July,22,3,8
19-Jul-04,July,23,3,4
19-Jul-04,July,24,3,4
